Id,text,label
1978,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,ham
3989,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,spam
3935,They r giving a second chance to rahul dengra.,ham
4078,O i played smash bros  &lt;#&gt;  religiously.,ham
4086,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04,spam
4919,"G says you never answer your texts, confirm/deny",ham
2268,88066 FROM 88066 LOST 3POUND HELP,spam
4696,"Okey dokey, iÛ÷ll be over in a bit just sorting some stuff out.",ham
3653,Why i come in between you people,ham
70,Wah lucky man... Then can save money... Hee...,ham
4467,Much better now thanks lol,ham
2418,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala.",ham
2623,I'm coming home 4 dinner.,ham
1272,Ok...,ham
1454,Can Ì_ all decide faster cos my sis going home liao..,ham
831,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx,ham
5082,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),ham
1893,Good Morning plz call me sir,ham
3269,K actually can you guys meet me at the sunoco on howard? It should be right on the way,ham
238,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",ham
5426,Oh yeah! And my diet just flew out the window,ham
4867,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",ham
3435,If india win or level series means this is record:),ham
5542,Armand says get your ass over to epsilon,ham
1295,TELL HER I SAID EAT SHIT.,ham
2998,"Oh, then your phone phoned me but it disconnected",ham
1001,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam
1512,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",ham
4370,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,ham
3458,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,spam
2350,You will be in the place of that man,ham
957,Welp apparently he retired,ham
2229,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,ham
4301,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,ham
2240,K I'll call you when I'm close,ham
1437,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,ham
5351,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,ham
1876,Watching tv now. I got new job :),ham
2094,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
2655,Great! I have to run now so ttyl!,ham
3482,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",ham
1034,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG,ham
4764,if you text on your way to cup stop that should work. And that should be BUS,ham
931,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,ham
5087,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",ham
2902,Tell me pa. How is pain de.,ham
633,Got it. Seventeen pounds for seven hundred ml ÛÒ hope ok.,ham
2451,I know complain num only..bettr directly go to bsnl offc nd apply for it..,ham
498,"Kate jackson rec center before 7ish, right?",ham
4935,K..k.:)congratulation ..,ham
415,Whatsup there. Dont u want to sleep,ham
2698,FROM 88066 LOST å£12 HELP,spam
2855,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",ham
3727,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.,ham
1426,Ok...,ham
757,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",ham
1194,Ok... C ya...,ham
1041,I'm in class. Will holla later,ham
1777,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,spam
2572,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel",ham
2699,Oh baby of the house. How come you dont have any new pictures on facebook,ham
2168,Thx. All will be well in a few months,ham
596,Gud mrng dear have a nice day,ham
1919,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,ham
2763,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",ham
2807,Yes princess! I want to catch you with my big strong hands...,ham
652,"Wait, do you know if wesleys in town? I bet she does hella drugs!",ham
5151,No problem with the renewal. I.ll do it right away but i dont know his details.,ham
3024,"What part of \don't initiate\"" don't you understand""",ham
3271,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night",ham
4113,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,ham
1406,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",spam
1618,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,ham
75,I am waiting machan. Call me once you free.,ham
1964,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",ham
3336,I AM AT THE GAS STATION. GO THERE.,ham
3842,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...,ham
5358,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,ham
4510,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*",ham
2410,Ok... Thanx... Gd nite 2 Ì_ too...,ham
